시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.79,3,3,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.51,6,6,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,56.94,1,1,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.96,1,1,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.27,6,6,May-24,Feb-24,준공,
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,61,14,3,Jun-24,Feb-24,준공,
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,62,1,0,Jun-24,Feb-24,준공,
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,65,1,0,Jun-24,Feb-24,준공,
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,66,14,7,Jun-24,Feb-24,준공,
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,만간,분양,68,11,5,Jun-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.94,5,4,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.14,9,6,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,46.87,1,0,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,48.38,18,17,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,50.18,2,2,May-24,Feb-24,준공,
