시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고,위도,경도
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,1.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,24,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74.0,28,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,71.0,24,0.0,May-24,Jul-24,준공,,37.4819894,126.7940667
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,84.0,9,6.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,76.0,9,5.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,75.0,24,15.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74.0,9,3.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74.0,24,7.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,73.0,9,5.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70.0,24,18.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.96,12,4.0,Nov-24,Jan-24,준공,,37.517302,126.8022435
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,61.0,5,5.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,60.0,2,2.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,8,8.0,Apr-24,May-24,준공,,37.4920306,126.7892064
